년,월,국적지역,등록외국인 수
2022,03,벨리즈,5
2022,03,가이아나,4
2022,03,레소토,4
2022,03,바하마,4
2022,03,바베이도스,3
2022,03,솔로몬군도,3
2022,03,교황청,2
2022,03,세이셸,2
2022,03,세인트루시아,2
2022,03,수리남,2
2022,03,나우루,2
2022,03,팔라우,2
2022,03,몰디브,2
2022,03,코소보,2
2022,03,홍콩거주난민,1
2022,03,영국외지시민,1
2022,03,영국속령지시민,1
2022,03,세인트빈센트그레나딘,1
2022,03,부베트,1
2022,03,마샬군도,1
2022,03,지부티,1
2022,03,통가,1
2022,03,나미비아,1
2022,03,코모로,1
2022,03,키리바시,1
2022,04,한국계중국인,248586
2022,04,베트남,177175
2022,04,중국,170660
2022,04,우즈베키스탄,42281
2022,04,캄보디아,40634
2022,04,필리핀,38088
2022,04,네팔,35893
2022,04,태국,32226
2022,04,인도네시아,32117
2022,04,미국,30701
2022,04,일본,25603
2022,04,몽골,25066
2022,04,미얀마,24867
2022,04,스리랑카,18846
2022,04,타이완,17814
2022,04,러시아연방,14083
2022,04,방글라데시,14049
2022,04,카자흐스탄,12816
2022,04,인도,10417
2022,04,파키스탄,10373
2022,04,영국,4930
2022,04,프랑스,4588
2022,04,키르기즈,4268
2022,04,캐나다,4263
2022,04,말레이시아,3559
2022,04,독일,2970
2022,04,남아프리카공화국,2847
2022,04,티모르민주공화국,2495
2022,04,이집트,2490
2022,04,우크라이나,2489
2022,04,나이지리아,2456
2022,04,홍콩,2038
2022,04,오스트레일리아,1689
2022,04,터키,1630
2022,04,시리아,1531
2022,04,모로코,1317
2022,04,라오스,1276
2022,04,이란,1214
2022,04,브라질,1141
2022,04,가나,1104
2022,04,예멘공화국,1055
2022,04,에티오피아,1030
2022,04,이탈리아,1001
2022,04,스페인,991
2022,04,사우디아라비아,844
2022,04,멕시코,832
2022,04,카메룬,818
2022,04,아프가니스탄,805
2022,04,싱가포르,805
2022,04,네덜란드,786
2022,04,뉴질랜드,686
2022,04,타지키스탄,660
2022,04,아일랜드,638
2022,04,리비아,582
2022,04,스웨덴,531
2022,04,폴란드,481
2022,04,콜롬비아,480
2022,04,우간다,480
2022,04,라이베리아,468
2022,04,벨기에,447
2022,04,요르단,427
2022,04,알제리,424
2022,04,페루,423
2022,04,이라크,409
2022,04,케냐,391
2022,04,스위스,340
2022,04,아랍에미리트연합,339
2022,04,핀란드,316
2022,04,세네갈,311
2022,04,탄자니아,300
2022,04,튀니지,288
2022,04,수단,266
2022,04,노르웨이,265
2022,04,르완다,260
2022,04,기니,260
2022,04,덴마크,252
2022,04,루마니아,250
2022,04,콩고민주공화국,250
2022,04,투르크메니스탄,246
2022,04,벨로루시,242
2022,04,아제르바이잔,240
2022,04,오스트리아,239
2022,04,칠레,224
2022,04,에콰도르,216
2022,04,그리스,205
2022,04,말리,202
2022,04,헝가리,189
2022,04,체코,182
2022,04,이스라엘,179
2022,04,아르헨티나,176
2022,04,코트디부아르,169
2022,04,포르투갈,168
2022,04,베네수엘라,151
2022,04,부룬디,143
2022,04,앙골라,136
2022,04,불가리아,134
2022,04,감비아,123
2022,04,리투아니아,118
2022,04,브루나이,105
2022,04,짐바브웨,98
2022,04,잠비아,97
2022,04,무국적,97
2022,04,조지아,85
2022,04,마카오,83
2022,04,시에라리온,80
2022,04,파라과이,79
2022,04,가봉,78
2022,04,슬로바크,76
2022,04,크로아티아,76
2022,04,코스타리카,73
2022,04,과테말라,73
2022,04,아르메니아,72
2022,04,세르비아,70
2022,04,영국외지민,70
2022,04,도미니카공화국,70
2022,04,파나마,69
2022,04,라트비아,64
2022,04,볼리비아,59
2022,04,팔레스타인,57
2022,04,엘살바도르,56
2022,04,쿠웨이트,54
2022,04,슬로베니아,52
2022,04,몰도바,47
2022,04,온두라스,44
2022,04,부르키나파소,43
2022,04,오만,42
2022,04,에스토니아,41
2022,04,토고,41
2022,04,모잠비크,41
2022,04,피지,41
2022,04,부탄,39
2022,04,쿠바,37
2022,04,자메이카,37
2022,04,니카라과,36
2022,04,카타르,35
2022,04,레바논,35
2022,04,국제연합,34
2022,04,아이티,34
2022,04,미등록국가,34
2022,04,우루과이,32
2022,04,말라위,31
2022,04,마다가스카르,28
2022,04,남수단공화국,26
2022,04,알바니아,24
2022,04,소말리아,21
2022,04,콩고,21
2022,04,키프로스,20
2022,04,룩셈부르크,19
2022,04,보츠와나,19
2022,04,기니비사우,18
2022,04,트리니다드토바고,18
2022,04,베냉,15
2022,04,에스와티니,14
2022,04,북마케도니아,13
2022,04,에리트레아,13
2022,04,아이슬란드,12
2022,04,모리셔스,12
2022,04,모리타니,11
2022,04,차드,11
2022,04,세인트크리스토퍼네비스,10
2022,04,바누아투,9
2022,04,몬테네그로,9
2022,04,보스니아헤르체고비나,8
2022,04,적도기니,7
2022,04,니제르,7
2022,04,몰타,7
2022,04,바레인,7
2022,04,도미니카연방,6
2022,04,중앙아프리카공화국,6
2022,04,파푸아뉴기니,5
2022,04,벨리즈,5
2022,04,레소토,5
2022,04,가이아나,4
2022,04,바하마,4
2022,04,바베이도스,3
2022,04,솔로몬군도,3
2022,04,홍콩거주난민,2
2022,04,교황청,2
2022,04,세이셸,2
2022,04,수리남,2
2022,04,지부티,2
2022,04,나우루,2
2022,04,팔라우,2
2022,04,몰디브,2
2022,04,코소보,2
2022,04,영국외지시민,1
2022,04,영국속령지시민,1
2022,04,세인트빈센트그레나딘,1
2022,04,부베트,1
2022,04,마샬군도,1
2022,04,세인트루시아,1
2022,04,통가,1
2022,04,나미비아,1
2022,04,코모로,1
2022,05,홍콩거주난민,2
2022,05,영국외지시민,1
2022,05,영국속령지시민,1
2022,05,세인트빈센트그레나딘,1
2022,05,북마케도니아,14
2022,05,부베트,1
2022,05,마샬군도,1
2022,05,교황청,2
2022,05,가이아나,4
2022,05,세이셸,2
2022,05,세인트루시아,1
2022,05,수리남,2
2022,05,지부티,2
2022,05,나우루,2
2022,05,바베이도스,3
2022,05,통가,1
2022,05,파푸아뉴기니,7
2022,05,나미비아,1
2022,05,도미니카연방,6
2022,05,벨리즈,7
2022,05,팔라우,2
2022,05,몰디브,3
2022,05,코모로,4
2022,05,레소토,5
2022,05,바누아투,10
2022,05,코소보,3
2022,05,몬테네그로,9
2022,05,바하마,4
2022,05,적도기니,7
2022,05,니제르,7
2022,05,몰타,7
2022,05,보스니아헤르체고비나,7
2022,05,중앙아프리카공화국,6
2022,05,솔로몬군도,3
2022,05,모리타니,11
2022,05,세인트크리스토퍼네비스,11
2022,05,아이슬란드,11
2022,05,에리트레아,13
2022,05,차드,11
2022,05,남수단공화국,26
2022,05,소말리아,21
2022,05,에스와티니,14
2022,05,키프로스,20
2022,05,바레인,7
2022,05,기니비사우,18
2022,05,룩셈부르크,19
2022,05,트리니다드토바고,18
2022,05,모리셔스,12
2022,05,알바니아,25
2022,05,카타르,35
2022,05,말라위,31
2022,05,보츠와나,20
2022,05,국제연합,34
2022,05,콩고,21
2022,05,우루과이,31
2022,05,베냉,15
2022,05,니카라과,36
2022,05,마다가스카르,27
2022,05,아이티,40
2022,05,부탄,43
2022,05,에스토니아,40
2022,05,레바논,34
2022,05,오만,43
2022,05,슬로베니아,48
2022,05,쿠바,37
2022,05,라트비아,65
2022,05,몰도바,47
2022,05,자메이카,37
2022,05,부르키나파소,43
2022,05,온두라스,44
2022,05,세르비아,71
2022,05,영국외지민,72
2022,05,토고,41
2022,05,미등록국가,33
2022,05,슬로바크,74
2022,05,코스타리카,74
2022,05,조지아,86
2022,05,팔레스타인,58
2022,05,모잠비크,41
2022,05,파나마,68
2022,05,엘살바도르,58
2022,05,크로아티아,76
2022,05,아르메니아,69
2022,05,피지,41
2022,05,가봉,78
2022,05,브루나이,112
2022,05,도미니카공화국,72
2022,05,볼리비아,59
2022,05,시에라리온,80
2022,05,과테말라,74
2022,05,파라과이,79
2022,05,쿠웨이트,54
2022,05,리투아니아,113
2022,05,잠비아,96
2022,05,짐바브웨,98
2022,05,마카오,80
2022,05,부룬디,158
2022,05,무국적,103
2022,05,아르헨티나,179
2022,05,불가리아,133
2022,05,체코,181
2022,05,감비아,122
2022,05,포르투갈,170
2022,05,앙골라,136
2022,05,이스라엘,181
2022,05,코트디부아르,169
2022,05,베네수엘라,155
2022,05,헝가리,190
2022,05,칠레,229
2022,05,핀란드,321
2022,05,아제르바이잔,247
2022,05,루마니아,249
2022,05,오스트리아,242
2022,05,말리,208
2022,05,그리스,200
2022,05,콩고민주공화국,253
2022,05,벨로루시,244
2022,05,덴마크,266
2022,05,에콰도르,222
2022,05,르완다,260
2022,05,스위스,341
2022,05,탄자니아,299
2022,05,수단,268
2022,05,기니,258
2022,05,노르웨이,267
2022,05,튀니지,290
2022,05,투르크메니스탄,238
2022,05,요르단,435
2022,05,이라크,410
2022,05,벨기에,461
2022,05,아프가니스탄,808
2022,05,페루,428
2022,05,세네갈,311
2022,05,케냐,399
2022,05,콜롬비아,488
2022,05,폴란드,476
2022,05,리비아,602
2022,05,스웨덴,525
2022,05,알제리,426
2022,05,우간다,479
2022,05,라이베리아,468
2022,05,타지키스탄,679
2022,05,아랍에미리트연합,378
2022,05,멕시코,835
2022,05,아일랜드,645
2022,05,네덜란드,788
2022,05,싱가포르,805
2022,05,스페인,1098
2022,05,뉴질랜드,690
2022,05,브라질,1142
2022,05,카메룬,815
2022,05,이탈리아,1008
2022,05,에티오피아,1036
2022,05,사우디아라비아,858
2022,05,예멘공화국,1061
2022,05,라오스,1374
2022,05,이란,1214
2022,05,모로코,1332
2022,05,가나,1102
2022,05,터키,1642
2022,05,시리아,1538
2022,05,오스트레일리아,1710
2022,05,홍콩,2052
2022,05,독일,3027
2022,05,티모르민주공화국,2551
2022,05,나이지리아,2452
2022,05,남아프리카공화국,2930
2022,05,이집트,2495
2022,05,우크라이나,2730
2022,05,프랑스,4676
2022,05,말레이시아,3551
2022,05,캐나다,4270
2022,05,영국,4959
2022,05,키르기즈,4404
2022,05,인도,10613
2022,05,파키스탄,10563
2022,05,러시아연방,14160
2022,05,방글라데시,14523
2022,05,카자흐스탄,12732
2022,05,타이완,17773
2022,05,스리랑카,18863
2022,05,일본,25602
2022,05,몽골,25258
2022,05,미국,30912
2022,05,미얀마,25226
2022,05,태국,32397
2022,05,인도네시아,32486
2022,05,네팔,36310
2022,05,캄보디아,40765
2022,05,필리핀,38651
2022,05,우즈베키스탄,42359
2022,05,베트남,179080
2022,05,한국계중국인,247826
2022,05,중국,170760
2022,06,홍콩거주난민,2
2022,06,튀르키예,1684
2022,06,영국외지시민,1
2022,06,영국속령지시민,1
2022,06,세인트빈센트그레나딘,1
2022,06,북마케도니아,14
2022,06,마샬군도,1
2022,06,교황청,2
2022,06,가이아나,4
2022,06,세이셸,2
2022,06,세인트루시아,2
2022,06,수리남,2
2022,06,지부티,2
2022,06,나우루,3
2022,06,바베이도스,4
2022,06,통가,1
2022,06,파푸아뉴기니,7
2022,06,나미비아,1
2022,06,도미니카연방,6
2022,06,벨리즈,7
2022,06,팔라우,2
2022,06,몰디브,3
2022,06,코모로,4
2022,06,레소토,5
2022,06,바누아투,11
2022,06,코소보,3
2022,06,몬테네그로,13
2022,06,바하마,4
2022,06,적도기니,8
2022,06,니제르,7
2022,06,몰타,7
2022,06,보스니아-헤르체고비나,7
2022,06,중앙아프리카공화국,9
2022,06,솔로몬군도,3
2022,06,모리타니,11
2022,06,세인트크리스토퍼네비스,10
2022,06,아이슬란드,10
2022,06,에리트레아,13
2022,06,차드,10
2022,06,남수단공화국,26
2022,06,소말리아,21
2022,06,에스와티니,14
2022,06,키프로스,19
2022,06,바레인,7
2022,06,기니비사우,18
2022,06,룩셈부르크,18
2022,06,트리니다드토바고,18
2022,06,모리셔스,13
2022,06,알바니아,25
2022,06,카타르,35
2022,06,말라위,32
2022,06,보츠와나,20
2022,06,국제연합,34
2022,06,콩고,21
2022,06,우루과이,31
2022,06,베냉,16
2022,06,니카라과,37
2022,06,마다가스카르,26
2022,06,아이티,55
2022,06,부탄,44
2022,06,에스토니아,39
2022,06,레바논,35
2022,06,오만,45
2022,06,슬로베니아,47
2022,06,쿠바,36
2022,06,라트비아,65
2022,06,몰도바,45
2022,06,자메이카,34
2022,06,부르키나파소,43
2022,06,온두라스,45
2022,06,세르비아,72
2022,06,영국외지민,70
2022,06,토고,41
2022,06,미등록국가,30
2022,06,슬로바크,66
2022,06,코스타리카,76
2022,06,조지아,83
2022,06,팔레스타인,60
2022,06,모잠비크,41
2022,06,파나마,68
2022,06,엘살바도르,58
2022,06,크로아티아,74
2022,06,아르메니아,69
2022,06,피지,41
2022,06,가봉,81
2022,06,브루나이,76
2022,06,도미니카공화국,75
2022,06,볼리비아,58
2022,06,시에라리온,78
2022,06,과테말라,76
2022,06,파라과이,78
2022,06,쿠웨이트,55
2022,06,리투아니아,106
2022,06,잠비아,95
2022,06,짐바브웨,98
2022,06,마카오,80
2022,06,부룬디,157
2022,06,무국적,110
2022,06,아르헨티나,174
2022,06,불가리아,132
2022,06,체코,174
2022,06,감비아,122
2022,06,포르투갈,167
2022,06,앙골라,135
2022,06,이스라엘,180
2022,06,코트디부아르,171
2022,06,베네수엘라,154
2022,06,헝가리,184
2022,06,칠레,230
2022,06,핀란드,295
2022,06,아제르바이잔,250
2022,06,루마니아,249
2022,06,오스트리아,236
2022,06,말리,208
2022,06,그리스,196
2022,06,콩고민주공화국,252
2022,06,벨로루시,250
2022,06,덴마크,255
2022,06,에콰도르,225
2022,06,르완다,261
2022,06,스위스,335
2022,06,탄자니아,305
2022,06,수단,269
2022,06,기니,260
2022,06,노르웨이,259
